age,income,loan_amount,credit_score,months_employed,num_credit_lines,interest_rate,loan_tenure,existing_loans,default
59,47544.76426524224,12987.656422595628,657.3357977200129,259,8,16.81965630510615,12,3,0
49,45681.03507731647,24397.577058242612,539.8546658935604,243,5,7.887451879195102,24,0,0
35,46580.57689638223,24418.80881383332,591.561636353028,155,9,17.713972021877296,24,3,0
63,86604.76710466127,13682.810429025587,654.6716962062407,248,15,21.740420713374963,36,4,0
28,28105.622541657624,5807.968514675813,575.6706550326929,94,9,11.958813535805763,36,3,1
41,43868.65910242003,18481.66690389611,610.3284197128036,254,10,19.933506538647144,36,4,1
59,80066.44997643502,13987.796469618119,725.9327190381964,200,18,20.490344934595818,48,2,0
39,43541.02343321704,29820.402528797425,620.2696405895606,133,14,17.871666514613544,48,4,0
43,31284.405682670076,15405.056599598174,613.5478133226021,152,18,22.66548591085429,48,4,0
31,55260.29363539496,15851.63528262136,561.1413043637987,254,16,7.896427213934103,12,0,0
31,66112.81083414031,21455.838928882673,597.8668151445522,259,5,21.868332822946833,36,3,0
44,42143.18059703406,15026.205504272975,649.3643363036668,239,10,17.214621379364925,36,4,1
56,61087.3678161509,20554.848521311946,713.3001921553468,151,6,22.113245944207534,12,0,0
60,22467.69811850873,10687.75404224405,496.46122818017767,90,9,15.65355242817062,48,0,0
44,23579.458331628113,6051.518017748891,730.3679880193293,239,16,11.55925072640404,24,0,0
23,41198.27439494745,7699.45089873325,611.8174330638844,182,11,22.94387312971145,60,1,0
42,61800.34839983456,12303.000562619234,640.5697178546209,258,18,22.548071861562253,36,0,0
22,65229.95961970172,15948.965987712283,720.4588269944097,285,5,10.353553139912101,48,0,0
44,26359.679050838735,18992.298362153273,850.0,75,9,19.88216441989816,24,4,0
64,64488.41409465159,18645.181839465466,704.4647861405834,296,11,6.825894181588888,36,0,0
50,53330.1408086956,15080.592528824147,600.8706523030784,182,9,6.719558686371354,36,0,1
58,32415.906110973643,6439.2518756530535,668.5086264396405,58,4,15.228089099622288,60,1,0
22,23316.23295954003,20590.608572892306,692.1135861846515,39,8,5.71523182020115,48,1,0
41,54596.46309808651,2989.2475645342365,509.7334028427613,44,5,13.6750617145728,12,0,0
53,75791.26448330891,5659.308477923643,541.616514128474,14,3,20.814952376412457,24,0,0
32,50710.448615559144,15361.565432832222,690.2710201531397,219,4,22.789473473955915,24,4,0
42,31301.58301187527,21371.619096809063,702.9056878897927,272,16,10.095628645764755,48,4,0
64,12639.554258411466,20018.49520810284,687.819689038167,186,13,6.539605333473983,24,1,0
45,80589.81693777218,14197.32486291767,715.1423517840346,24,3,17.613087832931996,12,4,0
47,70837.01220639524,18558.004246251723,612.9975759853324,298,4,10.296656821683394,24,3,0
62,56041.53697543203,6476.368218885249,758.0526062933836,191,1,5.468963584253263,48,2,0
48,79559.87934530922,10505.622934785355,832.1589738555941,178,8,7.6239595835107155,12,1,0
36,54478.38199507189,10626.901577461715,585.535123188584,60,9,23.76711496735235,60,1,0
35,39379.26098764634,7200.982696972064,524.0794269876708,130,5,22.50152623201145,48,4,0
64,61102.6449010042,12125.667033381289,642.6658016751236,248,12,21.59234808563917,60,2,1
23,33405.486474644174,13329.406840051775,737.8385626935328,163,9,11.789470813068032,24,2,0
57,30087.043642936384,11301.646064889843,716.1122054268143,206,4,19.290454692267716,12,0,0
27,65432.14219214537,12946.039813978841,664.3160573178789,237,17,24.14029562186706,24,1,0
41,67115.17535128165,1000.0,418.88772647580754,191,12,16.35162194416157,48,0,0
